Order Year,Month Number,Order Month,Revenue,Profit,Orders,Units,Margin %,MoM Revenue Growth %
2014,1,Jan,14236.895,2450.1907,32,284,0.1721014799926529,
2014,2,Feb,4519.892,862.3084,28,159,0.19078075316843854,-0.6825226287052057
2014,3,Mar,55691.009,498.7299,71,585,0.008955303718774425,11.321314093345594
2014,4,Apr,28295.345,3488.8352,66,536,0.12330067719619604,-0.4919225650948432
2014,5,May,23648.287,2738.7096,69,466,0.1158100626907987,-0.1642340109300664
2014,6,Jun,34595.1276,4976.5244,66,521,0.1438504421067665,0.46290205290556563
2014,7,Jul,33946.393,-841.4826000000002,65,550,-0.02478857179317992,-0.018752195612656286
2014,8,Aug,27909.4685,5318.105,72,609,0.19054841549562293,-0.1778369943457615
2014,9,Sep,81777.3508,8328.0994,130,1000,0.1018387037306667,1.9300934483936878
2014,10,Oct,31453.393,3448.2573,78,573,0.10963069389683969,-0.6153776969747472
2014,11,Nov,78628.7167,9292.1269,151,1219,0.11817726766994277,1.4998484805756886
2014,12,Dec,69545.6205,8983.5699,141,1079,0.12917520665445784,-0.11551881527782837
2015,1,Jan,18174.0756,-3281.007,29,236,-0.18053226322003416,-0.73867404634056
2015,2,Feb,11951.411,2813.8508,36,239,0.2354408864359196,-0.34239235804653523
2015,3,Mar,38726.252,9732.0978,79,515,0.25130492359549794,2.240307943555786
2015,4,Apr,34195.2085,4187.4962,72,543,0.12245856608828688,-0.11700185961708864
2015,5,May,30131.6865,4667.869,74,575,0.15491562345838158,-0.11883308154123406
2015,6,Jun,24797.292,3335.5572,68,486,0.13451296214118863,-0.1770360414442782
2015,7,Jul,28765.325,3288.6483,66,557,0.11432682578764536,0.1600188036661423
2015,8,Aug,36898.3322,5355.8084,68,598,0.14515041956286578,0.2827364961112031
2015,9,Sep,64595.918,8209.1627,140,1086,0.12708485232766567,0.7506460088729974
2015,10,Oct,31404.9235,2817.366,87,631,0.08971096522492723,-0.5138249525302822
2015,11,Nov,75972.5635,12474.7884,158,1310,0.1642012303560087,1.4191290738218165
2015,12,Dec,74919.5212,8016.9659,161,1203,0.10700770335408924,-0.013860823585346016
2016,1,Jan,18542.490999999998,2824.8233,48,358,0.15234324773300417,-0.752501207922829
2016,2,Feb,22978.815,5004.5795,45,306,0.21779101750895336,0.23925178121968615
2016,3,Mar,51715.875,3611.9680000000003,86,579,0.06984253867888729,1.2505892927899023
2016,4,Apr,38750.039000000004,2977.8149,89,635,0.07684675878648792,-0.2507128807160276
2016,5,May,56987.728,8662.1464,108,863,0.15200020607945625,0.4706495650236635
2016,6,Jun,40344.534,4750.3781,97,742,0.11774527126772613,-0.2920487372298822
2016,7,Jul,39261.963,4432.8778999999995,96,758,0.11290515199150891,-0.026833151673036904
2016,8,Aug,31115.3743,2062.0693,90,693,0.06627171764409726,-0.20749315819996073
2016,9,Sep,73410.0249,9328.6576,192,1316,0.1270760718676721,1.3592846479111778
2016,10,Oct,59687.745,16243.142500000002,105,767,0.27213530181111717,-0.18692651199468535
2016,11,Nov,79411.9658,4011.4075,183,1406,0.05051389245422759,0.3304567930988178
2016,12,Dec,96999.043,17885.3093,176,1414,0.18438645111168778,0.22146633725568843
2017,1,Jan,43971.374,7140.4391,69,597,0.16238835520582093,-0.546682393557223
2017,2,Feb,20301.1334,1613.8719999999998,53,363,0.07949664524641761,-0.5383102333804717
2017,3,Mar,58872.3528,14751.891500000002,118,885,0.2505741795323662,1.8999539897609856
2017,4,Apr,36521.5361,933.2899999999998,116,733,0.025554511109405386,-0.3796487763268058
2017,5,May,44261.1102,6342.5828,118,887,0.14329922524175637,0.2119180879689233
2017,6,Jun,52981.7257,8223.3357,133,931,0.15521079374732408,0.19702658746232715
2017,7,Jul,45264.416,6952.6212,111,840,0.15360015249064518,-0.14565984021920986
2017,8,Aug,63120.888,9040.9557,111,884,0.14323239083708708,0.39449248610652576
2017,9,Sep,87866.652,10991.5556,226,1660,0.12509359751182964,0.39203764053509516
2017,10,Oct,77776.9232,9275.2755,147,1133,0.11925485244703019,-0.11483001309757424
2017,11,Nov,118447.825,9690.1037,261,1840,0.08180904714797423,0.5229173400883513
2017,12,Dec,83829.3188,8483.346800000001,224,1723,0.10119784964780129,-0.2922679770607861
